epgroup_name,epgroup_abbr,person_official_id,person_name,membership_type,start_date,end_date
Group of the European People's Party,EPP,197490,Magdalena ADAMOWICZ,Member,2019-07-02,
Group of the European People's Party,EPP,189525,Asim ADEMOV,Member,2019-07-02,
Non-attached Members,NI,124831,Isabella ADINOLFI,Member,2019-07-02,2021-04-28
Group of the European People's Party,EPP,124831,Isabella ADINOLFI,Member,2021-04-29,
Identity and Democracy Group,ID,197826,Matteo ADINOLFI,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197403,Alex AGIUS SALIBA,Member,2019-07-02,2021-12-15
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197403,Alex AGIUS SALIBA,Vice-Chair,2021-12-16,
European Conservatives and Reformists Group,ECR,198096,Mazaly AGUILAR,Member of the Bureau,2019-07-02,2020-03-03
European Conservatives and Reformists Group,ECR,198096,Mazaly AGUILAR,Member,2020-03-04,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,125045,Clara AGUILERA,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197696,Scott AINSLIE,Member,2019-07-02,2020-01-31
Group of the Greens/European Free Alliance,Greens/EFA,204335,Alviina ALAMETSÄ,Member,2020-02-01,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,237224,João ALBUQUERQUE,Member,2022-09-13,
Group of the European People's Party,EPP,197836,Alexander ALEXANDROV YORDANOV,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,96750,François ALFONSI,Member,2019-07-02,
Renew Europe Group,RE,197848,Atidzhe ALIEVA-VELI,Member,2019-07-02,
Group of the Greens/European Free Alliance,Greens/EFA,197644,Christian ALLARD,Member,2019-07-02,2020-01-31
Renew Europe Group,RE,197400,Abir AL-SAHLANI,Member,2019-07-02,
Renew Europe Group,RE,247122,Catherine AMALRIC,Member,2023-08-10,
Group of the European People's Party,EPP,197746,Álvaro AMARO,Member,2019-07-02,2023-07-06
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197783,Andris AMERIKS,Member,2019-07-02,
Identity and Democracy Group,ID,197475,Christine ANDERSON,Member,2019-07-02,
Group of the European United Left,GUE/NGL,113959,Martina ANDERSON,Member,2019-07-02,2020-01-31
Group of the Greens/European Free Alliance,Greens/EFA,204371,Heather ANDERSON,Member,2020-01-27,2020-01-31
Group of the Greens/European Free Alliance,Greens/EFA,197448,Rasmus ANDRESEN,Member,2019-07-02,
Renew Europe Group,RE,204332,Barry ANDREWS,Member,2020-02-01,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,113892,Eric ANDRIEU,First Vice-Chair,2019-07-02,2023-06-01
Identity and Democracy Group,ID,197691,Mathilde ANDROUËT,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,125110,Nikos ANDROULAKIS,Member,2019-07-02,2023-05-02
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,202073,Marc ANGEL,Member,2019-12-10,
Identity and Democracy Group,ID,124973,Gerolf ANNEMANS,Member of the Bureau,2019-07-02,
Renew Europe Group,RE,124696,Andrus ANSIP,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197587,Attila ARA-KOVÁCS,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124936,Maria ARENA,Member,2019-07-02,
Group of the European People's Party,EPP,96808,Pablo ARIAS ECHEVERRÍA,Member,2019-07-02,
Group of the European People's Party,EPP,24922,Pascal ARIMONT,Member,2019-07-02,
Group of the European People's Party,EPP,197492,Bartosz ARŁUKOWICZ,Member,2019-07-02,
Renew Europe Group,RE,197664,Clotilde ARMAND,Member,2019-07-02,2020-11-03
Group of the European United Left,GUE/NGL,197701,Konstantinos ARVANITIS,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197701,Konstantinos ARVANITIS,Member,2020-12-18,
Group of the European People's Party,EPP,197695,Anna-Michelle ASIMAKOPOULOU,Member,2019-07-02,
Group of the European United Left,GUE/NGL,197533,Manon AUBRY,Member,2019-07-02,2019-07-17
Group of the European United Left,GUE/NGL,197533,Manon AUBRY,Co-Chair,2019-07-18,2020-12-17
The Left group in the European Parliament,GUE/NGL,197533,Manon AUBRY,Co-Chair,2020-12-18,
Group of the Greens/European Free Alliance,Greens/EFA,28161,Margrete AUKEN,Member,2019-07-02,
Renew Europe Group,RE,124766,Petras AUŠTREVIČIUS,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197651,Carmen AVRAM,Member,2019-07-02,
Renew Europe Group,RE,197781,Malik AZMANI,First Vice-Chair,2019-07-02,
Identity and Democracy Group,ID,197789,Simona BALDASSARRE,Member,2019-07-02,2023-04-02
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,247735,Laura BALLARÍN CEREZA,Member,2023-09-06,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197495,Marek Paweł BALT,Member,2019-07-02,
Identity and Democracy Group,ID,131580,Jordan BARDELLA,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197433,Katarina BARLEY,Member,2019-07-02,
Group of the European United Left,GUE/NGL,197684,Pernando BARRENA ARZA,Member,2019-07-02,2020-12-17
The Left group in the European Parliament,GUE/NGL,197684,Pernando BARRENA ARZA,Member,2020-12-18,2022-09-02
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197808,Pietro BARTOLO,Member,2019-07-02,
Group of the European People's Party,EPP,197671,Traian BĂSESCU,Member,2019-07-02,
Identity and Democracy Group,ID,197610,Alessandra BASSO,Member,2019-07-02,
Renew Europe Group,RE,197779,José Ramón BAUZÁ DÍAZ,Member,2019-07-02,
Identity and Democracy Group,ID,124760,Nicolas BAY,Vice-Chair,2019-07-02,2022-02-15
Non-attached Members,NI,124760,Nicolas BAY,Member,2022-02-16,
Renew Europe Group,RE,96955,Catherine BEARDER,Member,2019-07-02,2020-01-31
Identity and Democracy Group,ID,132191,Gunnar BECK,Member,2019-07-02,
Renew Europe Group,RE,197437,Nicola BEER,Member,2019-07-02,
Non-attached Members,NI,124777,Tiziana BEGHIN,Member,2019-07-02,
Identity and Democracy Group,ID,197680,Aurélia BEIGNEUX,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197496,Marek BELKA,Member,2019-07-02,2021-12-15
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197496,Marek BELKA,Vice-Chair,2021-12-16,
Group of the European People's Party,EPP,197534,François-Xavier BELLAMY,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197658,Adrian-Dragoş BENEA,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,124867,Brando BENIFEI,Member,2019-07-02,
Group of the European People's Party,EPP,197679,Isabel BENJUMEA BENJUMEA,Member,2019-07-02,
Renew Europe Group,RE,112014,Phil BENNION,Member,2019-07-02,2020-01-31
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,23868,Monika BEŇOVÁ,Member,2019-07-02,
Group of the European People's Party,EPP,197408,Hildegard BENTELE,Member,2019-07-02,
Group of the European People's Party,EPP,197778,Tom BERENDSEN,Member,2019-07-02,
Identity and Democracy Group,ID,197478,Lars Patrick BERG,Member,2019-07-02,2021-05-11
Non-attached Members,NI,197478,Lars Patrick BERG,Member,2021-05-12,2021-06-22
European Conservatives and Reformists Group,ECR,197478,Lars Patrick BERG,Member of the Bureau,2021-06-23,
Group of the European People's Party,EPP,197410,Stefan BERGER,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197396,Erik BERGKVIST,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,4746,Sergio BERLATO,Member,2020-02-01,
Group of the European People's Party,EPP,4391,Silvio BERLUSCONI,Member,2019-07-02,2022-10-12
Group of the European People's Party,EPP,197648,Alexander BERNHUBER,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197498,Robert BIEDROŃ,Member,2019-07-02,
European Conservatives and Reformists Group,ECR,23788,Adam BIELAN,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,238674,Theresa BIELOWSKI,Member,2022-10-12,
Renew Europe Group,RE,197551,Stéphane BIJOUX,Member,2019-07-02,
Renew Europe Group,RE,96922,Izaskun BILBAO BARANDICA,Member,2019-07-02,
Group of the European People's Party,EPP,197771,Vladimír BILČÍK,Member,2019-07-02,
Identity and Democracy Group,ID,124771,Dominique BILDE,Member,2019-07-02,
Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,197435,Gabriele BISCHOFF,Member,2019-07-02,2021-12-15
