organization_name,organization_abbr,organization_type,person_official_id,person_name,membership_type,start_date,end_date
Delegation for Relations with South Africa,D-ZA,Delegation,197490,Magdalena ADAMOWICZ,Chair,2019-09-26,
Delegation for Relations with South Africa,D-ZA,Delegation,197490,Magdalena ADAMOWICZ,Member,2019-07-02,2019-09-25
Committee on Transport and Tourism,TRAN,Committee,197490,Magdalena ADAMOWICZ,Member,2019-07-02,2022-01-19
Conference of Delegation Chairs,CDC,Political Body,197490,Magdalena ADAMOWICZ,Member,2019-09-26,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197490,Magdalena ADAMOWICZ,Member,2020-02-12,2022-01-19
Committee on Transport and Tourism,TRAN,Committee,197490,Magdalena ADAMOWICZ,Member,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197490,Magdalena ADAMOWICZ,Member,2022-01-20,
"Committee on Civil Liberties, Justice and Home Affairs",LIBE,Committee,197490,Magdalena ADAMOWICZ,Substitute,2019-07-02,2020-02-11
Committee on Legal Affairs,JURI,Committee,197490,Magdalena ADAMOWICZ,Substitute,2019-07-02,2022-01-19
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,197490,Magdalena ADAMOWICZ,Substitute,2019-07-02,
"Special Committee on Foreign Interference in all Democratic Processes in the European Union, including Disinformation",INGE,Special Committee,197490,Magdalena ADAMOWICZ,Substitute,2020-09-14,2022-03-23
Committee on Legal Affairs,JURI,Committee,197490,Magdalena ADAMOWICZ,Substitute,2022-01-20,
Committee on Culture and Education,CULT,Committee,189525,Asim ADEMOV,Member,2019-07-02,2022-01-19
"Delegation for Relations with the Maghreb countries and the Arab Maghreb Union, including the EU-Morocco, EU-Tunisia and EU-Algeria Joint Parliamentary Committees",DMAG,Delegation,189525,Asim ADEMOV,Member,2019-07-02,
Delegation to the Parliamentary Assembly of the Union for the Mediterranean,DMED,Delegation,189525,Asim ADEMOV,Member,2019-07-02,
Committee of Inquiry on the Protection of Animals During Transport,ANIT,Special Committee,189525,Asim ADEMOV,Member,2021-03-24,2021-12-19
Committee on Culture and Education,CULT,Committee,189525,Asim ADEMOV,Member,2022-01-20,
Committee on Agriculture and Rural Development,AGRI,Committee,189525,Asim ADEMOV,Substitute,2019-07-02,2022-01-19
Delegation to the EU-Serbia Stabilisation and Association Parliamentary Committee,D-RS,Delegation,189525,Asim ADEMOV,Substitute,2019-07-02,
Committee on Petitions,PETI,Committee,189525,Asim ADEMOV,Substitute,2020-02-11,2022-01-19
Committee of Inquiry on the Protection of Animals During Transport,ANIT,Special Committee,189525,Asim ADEMOV,Substitute,2020-10-19,2021-03-23
Committee on Agriculture and Rural Development,AGRI,Committee,189525,Asim ADEMOV,Substitute,2022-01-20,
Committee on Petitions,PETI,Committee,189525,Asim ADEMOV,Substitute,2022-01-20,
Committee on Culture and Education,CULT,Committee,124831,Isabella ADINOLFI,Member,2019-07-02,2021-04-25
Delegation for Relations with Japan,D-JP,Delegation,124831,Isabella ADINOLFI,Member,2019-07-02,2021-04-28
Delegation to the ACP-EU Joint Parliamentary Assembly,ACP-EU,Delegation,124831,Isabella ADINOLFI,Member,2019-07-02,2021-04-28
Committee on Women’s Rights and Gender Equality,FEMM,Committee,124831,Isabella ADINOLFI,Member,2021-04-29,2022-01-19
Committee on Women’s Rights and Gender Equality,FEMM,Committee,124831,Isabella ADINOLFI,Member,2022-01-20,
Delegation for Relations with the United States,D-US,Delegation,124831,Isabella ADINOLFI,Member,2022-03-08,
Committee on Women’s Rights and Gender Equality,FEMM,Committee,124831,Isabella ADINOLFI,Substitute,2019-07-02,2021-03-10
Committee on Culture and Education,CULT,Committee,124831,Isabella ADINOLFI,Substitute,2021-04-29,2022-01-19
Delegation for Relations with Australia and New Zealand,DANZ,Delegation,124831,Isabella ADINOLFI,Substitute,2022-01-18,
Committee on Culture and Education,CULT,Committee,124831,Isabella ADINOLFI,Substitute,2022-01-20,
Committee on Budgetary Control,CONT,Committee,197826,Matteo ADINOLFI,Member,2019-07-02,2022-01-19
Delegation for Relations with the Arab Peninsula,DARP,Delegation,197826,Matteo ADINOLFI,Member,2019-07-02,
Committee on Regional Development,REGI,Committee,197826,Matteo ADINOLFI,Member,2021-10-06,2022-01-19
Committee on Budgetary Control,CONT,Committee,197826,Matteo ADINOLFI,Member,2022-01-20,
