,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
746823,1155069,2022-08-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
746824,1158546,2022-08-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
746825,1155838,2022-08-01,197800,Eero HEINÄLUOMA,Finland,S&D,Social Democratic Party
746826,1155838,2022-08-01,125046,Jonás FERNÁNDEZ,Spain,S&D,Spanish Socialist Workers' Party
746827,1155838,2022-08-01,197697,Aurore LALUCQ,France,S&D,Public Place
746828,1156606,2022-08-01,205452,Chris MACMANUS,Ireland,GUE/NGL,Sinn FÃ©in
746829,1162033,2022-08-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
746830,1161856,2022-08-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
746831,1156082,2022-08-01,197720,Frances FITZGERALD,Ireland,EPP,Fine Gael
746832,1155001,2022-08-01,197581,Stéphanie YON-COURTIN,France,RE,The Republic Forward
746833,1155001,2022-08-01,197577,Gilles BOYER,France,RE,The Republic Forward
746834,1157577,2022-08-01,124780,Marco ZANNI,Italy,ID,League
746835,1157577,2022-08-01,197799,Valentino GRANT,Italy,ID,League
746836,1157577,2022-08-01,197787,Antonio Maria RINALDI,Italy,ID,League
746837,1160127,2022-08-01,197618,Elisabetta GUALMINI,Italy,S&D,Democratic Party
746838,1157602,2022-08-01,197617,Carlo CALENDA,Italy,RE,Action
746839,1159313,2022-08-01,124812,Fabio Massimo CASTALDO,Italy,NI,Five Star Movement
746840,1153999,2022-08-01,4465,Raffaele FITTO,Italy,ECR,Brothers of Italy
746841,1153995,2022-08-01,124780,Marco ZANNI,Italy,ID,League
746842,1153995,2022-08-01,197799,Valentino GRANT,Italy,ID,League
746843,1153995,2022-08-01,197787,Antonio Maria RINALDI,Italy,ID,League
746844,1159980,2022-08-01,124780,Marco ZANNI,Italy,ID,League
746845,1159980,2022-08-01,197799,Valentino GRANT,Italy,ID,League
746846,1159980,2022-08-01,197787,Antonio Maria RINALDI,Italy,ID,League
746847,1160060,2022-08-01,197581,Stéphanie YON-COURTIN,France,RE,The Republic Forward
746848,1160060,2022-08-01,197577,Gilles BOYER,France,RE,The Republic Forward
746849,1160060,2022-08-01,96711,Pascal CANFIN,France,RE,The Republic Forward
746850,1160060,2022-08-01,124693,Pascal DURAND,France,RE,The Republic Forward
746851,1158783,2022-08-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
746852,1159203,2022-08-01,197581,Stéphanie YON-COURTIN,France,RE,The Republic Forward
746853,1159203,2022-08-01,197577,Gilles BOYER,France,RE,The Republic Forward
746854,1159203,2022-08-01,96711,Pascal CANFIN,France,RE,The Republic Forward
746855,1159203,2022-08-01,124693,Pascal DURAND,France,RE,The Republic Forward
746856,1156724,2022-08-01,197457,Henrike HAHN,Germany,Greens/EFA,The Greens
746857,1158806,2022-08-01,197720,Frances FITZGERALD,Ireland,EPP,Fine Gael
