,AmendmentID,Date,OfficialMEPID,MEPName,MemberState,EPGroup,NationalParty
24881,888520,2020-02-03,28372,Ryszard CZARNECKI,Poland,ECR,Law and Justice
24882,888520,2020-02-03,96796,Ryszard Antoni LEGUTKO,Poland,ECR,Law and Justice
24883,888520,2020-02-03,4465,Raffaele FITTO,Italy,ECR,Brothers of Italy
24884,888520,2020-02-03,197501,Joachim Stanisław BRUDZIŃSKI,Poland,ECR,Law and Justice
24885,888520,2020-02-03,197516,Patryk JAKI,Poland,ECR,United Poland
24886,896412,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24887,896412,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24888,896412,2020-02-03,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
24889,896412,2020-02-03,96780,Monika HOHLMEIER,Germany,EPP,Christian Social Union in Bavaria
24890,896346,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
24891,896346,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
24892,896346,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
24893,896346,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
24894,896346,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
24895,881266,2020-02-03,30482,Younous OMARJEE,France,GUE/NGL,Unbowed France
24896,887304,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24897,887304,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24898,887304,2020-02-03,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
24899,887304,2020-02-03,96780,Monika HOHLMEIER,Germany,EPP,Christian Social Union in Bavaria
24900,890217,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24901,890217,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24902,887258,2020-02-03,5392,Lara WOLTERS,Netherlands,S&D,Labour Party
24903,891533,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
24904,891533,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
24905,891533,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
24906,891533,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
24907,891533,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
24908,891469,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
24909,891469,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
24910,891469,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
24911,891469,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
24912,891469,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
24913,881227,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24914,886106,2020-02-03,5392,Lara WOLTERS,Netherlands,S&D,Labour Party
24915,890667,2020-02-03,197661,Cristian GHINEA,Romania,RE,Save Romania Party
24916,890667,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
24917,890667,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
24918,890667,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
24919,890667,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
24920,896523,2020-02-03,124770,Jean-François JALKH,France,ID,National Rally
24921,893307,2020-02-03,5392,Lara WOLTERS,Netherlands,S&D,Labour Party
24922,884953,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24923,884953,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24924,884953,2020-02-03,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
24925,887632,2020-02-03,197661,Cristian GHINEA,Romania,RE,Save Romania Party
24926,887632,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
24927,887632,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
24928,887632,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
24929,896571,2020-02-03,28372,Ryszard CZARNECKI,Poland,ECR,Law and Justice
24930,896571,2020-02-03,96796,Ryszard Antoni LEGUTKO,Poland,ECR,Law and Justice
24931,896571,2020-02-03,4465,Raffaele FITTO,Italy,ECR,Brothers of Italy
24932,896571,2020-02-03,197501,Joachim Stanisław BRUDZIŃSKI,Poland,ECR,Law and Justice
24933,896571,2020-02-03,197516,Patryk JAKI,Poland,ECR,United Poland
24934,888325,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24935,888325,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24936,890322,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
24937,879755,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
24938,891183,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24939,891183,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24940,892380,2020-02-03,197661,Cristian GHINEA,Romania,RE,Save Romania Party
24941,892380,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
24942,892380,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
24943,892380,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
24944,892380,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
24945,879700,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24946,885209,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24947,885209,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24948,879650,2020-02-03,197661,Cristian GHINEA,Romania,RE,Save Romania Party
24949,879650,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
24950,879650,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
24951,879650,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
24952,879650,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
24953,890724,2020-02-03,5392,Lara WOLTERS,Netherlands,S&D,Labour Party
24954,886304,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
24955,885155,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
24956,883846,2020-02-03,124770,Jean-François JALKH,France,ID,National Rally
24957,891781,2020-02-03,5392,Lara WOLTERS,Netherlands,S&D,Labour Party
24958,882552,2020-02-03,197661,Cristian GHINEA,Romania,RE,Save Romania Party
24959,882552,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
24960,882552,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
24961,882552,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
24962,882552,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
24963,886113,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24964,886113,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24965,886113,2020-02-03,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
24966,884301,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
24967,888496,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24968,891456,2020-02-03,5392,Lara WOLTERS,Netherlands,S&D,Labour Party
24969,887660,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24970,891546,2020-02-03,5392,Lara WOLTERS,Netherlands,S&D,Labour Party
24971,889643,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
24972,896559,2020-02-03,28372,Ryszard CZARNECKI,Poland,ECR,Law and Justice
24973,896559,2020-02-03,96796,Ryszard Antoni LEGUTKO,Poland,ECR,Law and Justice
24974,896559,2020-02-03,4465,Raffaele FITTO,Italy,ECR,Brothers of Italy
24975,896559,2020-02-03,197501,Joachim Stanisław BRUDZIŃSKI,Poland,ECR,Law and Justice
24976,896559,2020-02-03,197516,Patryk JAKI,Poland,ECR,United Poland
24977,885030,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24978,885030,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24979,885030,2020-02-03,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
24980,889010,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24981,889010,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
24982,889010,2020-02-03,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
24983,887382,2020-02-03,124770,Jean-François JALKH,France,ID,National Rally
24984,892880,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
24985,892880,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
24986,892880,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
24987,892880,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
24988,892880,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
24989,892791,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
24990,892791,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
24991,892791,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
24992,892791,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
24993,892791,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
24994,892791,2020-02-03,197661,Cristian GHINEA,Romania,RE,Save Romania Party
24995,889092,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
24996,879753,2020-02-03,30482,Younous OMARJEE,France,GUE/NGL,Unbowed France
24997,882835,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
24998,885208,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
24999,889625,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
25000,889625,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25001,889625,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25002,889625,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25003,889625,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25004,889625,2020-02-03,197661,Cristian GHINEA,Romania,RE,Save Romania Party
25005,881375,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
25006,881388,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
25007,882477,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
25008,882477,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25009,882477,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25010,882477,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25011,882477,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25012,881467,2020-02-03,96780,Monika HOHLMEIER,Germany,EPP,Christian Social Union in Bavaria
25013,887276,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
25014,888479,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
25015,888479,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25016,888479,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25017,888479,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25018,888479,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25019,896204,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
25020,888495,2020-02-03,96780,Monika HOHLMEIER,Germany,EPP,Christian Social Union in Bavaria
25021,896524,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
25022,896524,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
25023,884874,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
25024,890651,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
25025,884120,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
25026,892778,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
25027,892778,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
25028,892778,2020-02-03,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
25029,881822,2020-02-03,124770,Jean-François JALKH,France,ID,National Rally
25030,881604,2020-02-03,28372,Ryszard CZARNECKI,Poland,ECR,Law and Justice
25031,881604,2020-02-03,96796,Ryszard Antoni LEGUTKO,Poland,ECR,Law and Justice
25032,881604,2020-02-03,4465,Raffaele FITTO,Italy,ECR,Brothers of Italy
25033,881604,2020-02-03,197501,Joachim Stanisław BRUDZIŃSKI,Poland,ECR,Law and Justice
25034,881604,2020-02-03,197516,Patryk JAKI,Poland,ECR,United Poland
25035,888220,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
25036,888220,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
25037,888220,2020-02-03,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
25038,893617,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
25039,882841,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
25040,882841,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25041,882841,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25042,882841,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25043,882841,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25044,884119,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
25045,884119,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25046,884119,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25047,884119,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25048,884119,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25049,893748,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
25050,893748,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25051,893748,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25052,893748,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25053,893748,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25054,880103,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
25055,888197,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
25056,888197,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25057,888197,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25058,888197,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25059,888197,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25060,892288,2020-02-03,197588,Katalin CSEH,Hungary,RE,Momentum Movement
25061,892288,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25062,892288,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25063,892288,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25064,892288,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25065,893542,2020-02-03,5392,Lara WOLTERS,Netherlands,S&D,Labour Party
25066,881608,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25067,881608,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25068,881608,2020-02-03,197661,Cristian GHINEA,Romania,RE,Save Romania Party
25069,881608,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25070,881608,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25071,883512,2020-02-03,124770,Jean-François JALKH,France,ID,National Rally
25072,884215,2020-02-03,28372,Ryszard CZARNECKI,Poland,ECR,Law and Justice
25073,884215,2020-02-03,96796,Ryszard Antoni LEGUTKO,Poland,ECR,Law and Justice
25074,884215,2020-02-03,4465,Raffaele FITTO,Italy,ECR,Brothers of Italy
25075,884215,2020-02-03,197501,Joachim Stanisław BRUDZIŃSKI,Poland,ECR,Law and Justice
25076,884215,2020-02-03,197516,Patryk JAKI,Poland,ECR,United Poland
25077,895665,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
25078,895665,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
25079,895665,2020-02-03,112611,Petri SARVAMAA,Finland,EPP,National Coalition Party
25080,883435,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25081,883435,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25082,883435,2020-02-03,197661,Cristian GHINEA,Romania,RE,Save Romania Party
25083,883435,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25084,883435,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25085,896575,2020-02-03,5392,Lara WOLTERS,Netherlands,S&D,Labour Party
25086,892808,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
25087,892808,2020-02-03,107212,Andrey NOVAKOV,Bulgaria,EPP,Citizens for European Development of Bulgaria
25088,880818,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
25089,889208,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25090,889208,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25091,889208,2020-02-03,197661,Cristian GHINEA,Romania,RE,Save Romania Party
25092,889208,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25093,889208,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25094,893476,2020-02-03,5392,Lara WOLTERS,Netherlands,S&D,Labour Party
25095,879534,2020-02-03,197577,Gilles BOYER,France,RE,The Republic Forward
25096,879534,2020-02-03,197463,Olivier CHASTEL,Belgium,RE,Reformist Movement
25097,879534,2020-02-03,197661,Cristian GHINEA,Romania,RE,Save Romania Party
25098,879534,2020-02-03,134605,Ramona STRUGARIU,Romania,RE,Save Romania Party
25099,879534,2020-02-03,124709,Martina DLABAJOVÁ,Czechia,RE,ANO 2011
25100,892172,2020-02-03,124713,Tomáš ZDECHOVSKÝ,Czechia,EPP,Christian and Democratic Union - Czechoslovak People's Party
25101,889767,2020-02-03,96725,Bas EICKHOUT,Netherlands,Greens/EFA,GreenLeft
